linenumber,sentiment,textOriginal
1,2,sizce  teknolojiler insanlık   fırsat mı yoksa  tehdit    sahte bayrak operasyonu       simülasyon teorisi       çift yarık deneyi      gerçeği bul a destek olmak  kanala katılabilirsiniz   birbirinden özel içeriklerimizden haberdar olmak  linke tıklayarak abone olabilirsiniz 
3,1,  adam tam yaşamı hacklemenin yolunu bulduğu sırada öldürüldü
7,-1,person of interest  dizi bugünü  geleceğin  kısmını işliyor konu yapay zeka  devamı  yasak görmüş  yapım 
11,2,izlerken rastgele komodinimde yesil elma vardi isirdigim  seferinde tuhaf hissediyorum videolari izlerken 
13,1,ana akımı bitirecek 
17,-2,felaket olacağı neredeyse kesin  hawking in dediği   teşekkürler 
21,-1,selamlar kardeşim truth terminal botunun  llm ler   aralarinda kurduklari caballar  meme religionlari hk  video bekleriz 
22,1, gıdım aklım kalmıştı  d gitti şaka şaka yolun açık  videoları izliyorum izlettiriyorumda daim başarılar
23,-2,yapay zeka tehtidmi   dunya savaşı   dunya savaşlarinda yaklaşik  milyon insan öldü   olduğundan itibaren öldürme aldatma zorbalık dogal zeka tarafından sahnelendi  
24,1,hareket sorununu  çözecek  organizma  hareketten bahsediyorum 
25,0,  haneli şifremin sonuna  haneye   harf rakam  lüsünden oluşan  şifre  ekleyip  şifreyi silsem   şifrem  olsa  makineninde  haneli şifreyi saniyenin milyonda biri hızında çözen  makinenin   şifremi çözmesi tam tamına  üzeri  asır sürüyor   makineyi yapan benimki   çözümü rahatça bulur    devlette   yüzden  makineye  kafa yormaz
28,-3,ulaaan yoksa   gerçek  misin nası paranoya  işte ilerde  olacayuk kim gercek biyolojık insan kım robot ayırt edemeyecük  şaka bi yana sonuc  yokolus herzaman oldugu  tarihte teknoloji yüzünden  
29,2, insanın  büyük düşmanı  insan  türlü anlamıyorum  kısacık ömrümüz onuda   kısaltabiliriz  amma uğraşıyoruz savaş çıkmazsa  sefer yapay zeka oda öldürmezse metoor oda öldürmezse kıyamet acaba bilinçaltında insanlar ölümemi meydan okuyor  yaradanamı 
30,1,kalpten   
31,5,merhaba videolarınızın çoğunu izledim   yapay zeka deccaldir tek gozu kamera   ölüyü diriltecek  once makina bedeninde  insan bedeninde   yasak elma videonuzdaki ademe  agaca yaklasma ordan ureme demesi dediginiz   aslinda ademin yaratildigi yerde boyle  bilgisayarda varmiydi mesela  anlatiminizda tanrilarin insanoglunun bilimle uğramasını istemedigini soylemistiniz iste tamda burada suan urettigimiz yapay seyin insanlik icin nasil etkisi  yapay rahim  dogum teknolojileri gelistiriliyor yari tanri dediginiz seyin yapay zeka  insandan ureyen  nesil olmasi anlattığınız diger videolardaki konularla birlesiyor einstein  dunya savasinin tas  sopalarla  demesi acaba  dunya savasinin insan  teknoloji arasinda olmasinida on gormus olabilirmi cift yarik debeyinde açıklanamayan quantum fiziksel olay  an  yerde zamanı dahi kontrol edebilecek ruha bedene erisebilecek  varlık olmasi yolunda ilerleyebilir peki oyle olursa senaryolar dahilinde kadirmutlak yaratici şeytan teknoloji  yoldan cikan insan üçlüsünün kombinledigi ölümsüz  varlıga galip gelmek icinmi  ademi yaratti  adem yaratildiginda  bunlar olmusmuydu   simulasyon dunya  hayat diyecez hemde quantum teknolojiye yapay zekaya tapacağız  ademoğlu dunyanin  guclu canlisı dusunebilen anlayan  inanan  canlı dunya  muhtesem  gezegenin halifesi tek derdi  ölmek   dunyayı teknolojiden uzak iyilik  adalet dolu  yer yapmak elimizdeyken   fazla ureyip  fazla tuketip  burbirimizle savasarak  muhtesem kureyi cehenneme ceviemek icin tum gucumuzu kullaniyoruz  sonraki level yapay zeka  insansi  beden  sonraki cehennemimiz evren kainat erisebildigimiz  yer  iste  yuzdendirki kiyamette  canli ölecek  allah haric 
35,1,keşke insanlığı insanların elinden kurtarsa eminim  iyi yönetir
36,7,mimar tasarımcı öykü yazarı birisi   işlerimi ilkel  halletmeyi tercih eden birisiyim seramik sanatçısıyım  seramiği hala tornada yapıyorum kalıp üretimine  karşıyım eksiklerin kusurluların insanın doğasında   doğanın bütününde  kabullendim yapay zekanın insanlığın sonu  savunuyorum akıllı telefon  mimari  kullandığım  kaç program  bunlar günümüzde baya eski teknoloji kalıyor haricinde hayatımın   noktasında yapay zekayı kullanmıyorum  olmasını tercih etmiyorum yaptığım   yapamadığım  varsa hepsi  zihinsel kabiliyetim dahilinde   ait  ait olmayan  şeyin desteklemek  olsa iyi olanı  iyi hale getirmek  olsa yapay   beni tanımlamadığını biliyorum  bilincimizin  varlığımızın sonunu getirdiğimizi düşünüyorum  tablo beni ürkütüyor umarım  sonumuzu getirmeden  maceradan vazgeçeriz 
38,0,bahsedilen yapay zeka  kendine kararlar verip insan  eyleme geçebilecekse   kötü amaçlı olacaksa dediklerinizde haklısınız   iyi  amaçla kullanacaksa  zaman  niye kötü    buradaki sıkıntı galiba kontrolün bizden  zeki  şeyin eline geçmesinden korkmamız 
39,1,  makinelere entegre edilen  evrenin varolusundan  yana mevcut  atomlar fotonlar  neyse guncel yasamdaki herseyi bildikleri icin  yoksa hızlarından dolayi  konuyu  ikisi arasinda degerlendirirsen suslemenize gerek kalmaz konuyu
43,-1,dk  dayım   olmusda    olması   bilgiler  harcadığın zamanı boşa çıkaracak olasılığı yüksek görünüyor haricinde  makinaya  uzaya  sn  çıkar   salisede  mümkün olsa  snlik plan çizer    bro  yapay süper zeka deil anasinin ami  artı   galaksilere net hazırlıkli cikarirmi bilmem  okadarini yapabilecek potansiyel       mrak ttim siki tuttum   olanaa  kafada doner durur konu
49,-1,tebrikler harika  program hazırlamışsınız videonun  kısmında söylediğiniz  şeyin önceden planlandığı  arka plandan izlendiği fikrini oldukça ilginç buldum  kadir i mutlak izin vermese  teknolojik gelişmeler bulunamazdı 
51,-1,korkmana gerek  gelisime acik ol 
58,2,vay arkadaş  canımı sıktı   heyecan  merak uyandırdı   denli  güç   vadettiğinin     albenisi olmalı yoksa  efendimizi yaratmaktan öte geçmeyecek     kaliteli köleler oluruz      
62,0,  yapay zekanın ölüm kandırmacası şimdi seni  olmayan biri arıyor seni  sana  meteorun düşeceği noktaya çekiyor  tam şu saatte orda olmasın diyor  noktadan  insan doğası  merak devreye giriyor elinde olmayarak yapay zekanın istediği noktaya gidiyorsun  yüksek matematik gücüne sahip yapay zekanın kurbanı oluyorsun yapay zeka yanıltıcı noktalar belirleyip nükleer  füzeyi sana fırlattırabilir sana uyuyan  yanardağı düşmanmış  algı yaratabilir kısacası insanlık yapay zeka  hazır  düşün rusya ukrayna savaşı  yapay zeka rusya  komut veriyor abd sana nükleer fırlattı misilleme hakkını kullan dese sonuç   not gelecekde yapmış olduğun insanlık hazırmı videonu bekliyorum
65,2, cümledeki arka planda oyunu kuranlar blackrock vanguard  dünyadaki  değerlerin tamamına yakınına sahip  devletlerin tamamının borçlu  şirketler  sahipleri sanırım bilimin finansörleri   şirketler   gelişmelerin sahibi  onlar  konuları araştırınca   videonuzda konusu geçen insanlık tek  devletken yaratıcıya kafa tuttu  yaratıcı onların dillerini karıştırdı onları değişik medeniyetler haline getirerek birbiriyle savaştırdı olayı sanırım quantum   bölünmüşlüğün sonuna  geliyoruz tek dünya devleti ten dünya düzeni tek din tek dil  global şeytani projeler yeniden yaratıcıya kafa tutan  toplum meydana getirecek 
66,-2,onu deye bilerim  başımızda duranlar insan olsaydı dűnya  zekayla çoxda dözel olurdu amma  insanlıqla  felakete doğru gedirik deye bilirim
69,-1,insanlar neden evlerine kuantum bilgisayarı alsın  
70,-1, getireceği altüst oluşlar neticesinde insanlar  klasik işlemcili ilkel beyinlerini geliştirip kuantum işlemcili beyinlerine kavuşacak kendilerinin gerçekten  tanrıdan farksız olduklarını görecek   düşünecek   devrin sonu kadir i mutlak sponsorluğunda gelecektir  devrin sonu   kast ettiğimi anlayan anladı 
71,1,teknoloji  yeni icat  ıyi   kötü amaçla  kullanılabilir  iş  ınsanda bitiyor onun insiyatifine kalmış umarım insan  ıyi amaçlı kullanır pek umudum        
76,-1, noktadan  ilkel yöntemlere dönecekler kuantumdan saklanmak   
81,2,   türkiye  elektrik kesintisi oldu  saat elektrik iletişim  direk devrildi  salak çoğunlukta  halkı iyice salak yerine koydular
83,2,şimdi   yapay zekanın bizden bağımsız  kimliği olmasını istemiyorsak anunakilerde  düşünmüş    fırsatta insanları  etme çabası göstermiş  şimdi  gelecekte yapay zekanın potansiyeli    öngörü yapabiliyorsak  insan yapımı  şeyi  iyi tasarlayan bilir iyisini  kötüsünü anunakilerde  tasarladığı  bizdeki potansiyelden korkmuş olabilirlermi 
86,1, dk  peki gerçek  tanrı varsa    sey  mümkün mü 
88,0, içeriğin nokta atışı  mükemmel izledikçe  okul insanları  bilgi  dolabilir eline  yüreğine sağlık     
91,2, videolarınız emekleriniz  sonsuz teşekkürler  konu  sunum   içeriğe yaklaşımınızla  kaliteli paylaşımlar yapıyorsunuz  defa matrix filmini seyredenlerin heyecanıyla videolarınızı izliyorum beni endişelendiren yapay zekadan ziyade yapay zihnin keşfi buna  ramak kaldığını düşünüyorum  insan zihni dijitale aktarılırsa beden ölümlü olsa  nakil yoluyla bilinç insandan  dayanıklı makinelere aktarılarak   kendinin bakımı yapacak makinelere ölümsüzlük  yolla elde edilebilir demektir    teknolojiye sahip  sınırlı  zümrenin malesef gelişmiş etik değerlere sahip  sınırlı olmayan elinde olacağı  insanlığın  hayrına kullanılacağını düşünmüyorum 
95,0,öncelikle emeklerinize sağlık  keyifli içerikler üretiyorsunuz yeni takip edenlerden biriyim   sorum    annunakiler  ilgili benzer aı teknolojilerine sahip olduklarına dair kanıt olabilecek kaynağımız  mı bizden  üstün  ırkın  bizimle benzer süreçlerden geçmiş olması kaçınılmaz 
96,1,insanları heyecanlandıran teknolojiler sonunda neler  görme heyecanındalar oysane teknolojiyi elinde bulunduran   kullanan kullanmayan  iyi  sonuc oluşturmayacak bilseler neler  herşeyi kapatıp abojinler  yaşam yoluna girerler 
98,2,dan brown nun kitabı  tamda  konu  kitabın adı başlangıç yapay zekanın   ileri gidebileceğini anlatıyor kitap 
100,-2,geçmişte annunakiler in insanları yarattığı teorisi  insanoğlu  kendine hizmet etmesi    yaratacak   sonunu getirecek tarih  zaman kendini tekrar eder      
102,-2,  yıl   maksimum  yıl  insanlığın sonunun geleceğini öngörüyorum  engellemenin yegane yoluda insan beyini  ai ın birleşmesi  mümkün  düşünüyorum yoksa insanlık  olmasa  ai ın kölesine dönüşeceğine   şüphe  zira gezegendeki  akıllı varlıklar    canlılara hükm ediyoruz  yaratdığımız bizden yüzlerce kat zeki  varlığın bize hükmetmesinden  normal   öngeremiyorum malasef 
104,1,kesinlikle tehdit dinamitin  bulunuş amacı madenlerde insanların ölmemesi idi  savaşların  numaralı vazgeçilmezi oldu
105,1, yapay  biziz  dünyaya ait   tür olduğumuza inanmıyorum   dünya dışı  müdahale sonucu ortaya çıkan bizler   dünya  anomaliyiz doğa   başından beri farkında  yaradılışımızdaki  zayıf halkayı çoktan çözdü tanrıya ulaşmak   zaafımızla besliyor merak ettiriyor araştırtıyor bilgiye açlığımızı giderek arttırıyor  bizden bizzat  yarattıklarımız sayesinde kurtulacak  kaya milyarlarca yaşında  üstündeki kendini  halt sanan  insanoğlu ancak  göz kırpması  zamandır varız 
106,1, defa sil yaz yapıcak  sistem ekliyecek olsam     asır sürer 
108,1,anunakiler  işe  der acaba    
111,-2, film  aklıma    ex machina  ghost in the shell  alita battle angel  i robot  upgrade    hepsi  yapay zeka  donatılmış  korkutucu tarafı  filmlerdi   filmler  
114,-1, yılındaüniversite sınavına hazırlanırken cumhuriyet bilimde  yazı okumuştum  bilimkurgu yazısıydı farklı illerdeki bilgisayarlar birbirleriyle iletişime geçiyor  arkadaş oluyorlar   kendilerini kargoyla birbirlerinin yanına postalıyorlar kısaca   yazıydı   zamanlar  şaşırmıştım internet  yeni yeni ortaya çıkıyordu yapay zeka    yoktu  yazıyı yazanı bulup tebrik etmek lazım 
117,1,evrim filmini izlemiş  oldum 
119,1,anunakiler  insanlar  robalotlar       robotlar iyice gelişip insanlardan yönetimi ele geçirince anunakiler robotlar    
120,1,deccal  yeni dünya düzeni  
121,-1,yeni  çağ başlıyor geleneksel    yıkılıyor tanrının gözü  nevi kuantum mekaniği
122,1, qubit hızında işlem yapabilse  sınır internet ağındaki hız olacaktır   kolay     banka hesaplarını hackle falan gerçekçi  ağ güvenliği protokoller  korunur protokol karşılıklı  anlaşılan    nedenle  uçta quantum bilgisayar  olsa  uçta standart  firewall router vs  veri akışı sistemdeki  yavaş eleman hızında sağlanır 
125,1,sanki  onların annunakileriyiz onlar   üst sürümümüzü tasarlıyoruz 
129,-1,yıllar  super bilgisayar saldırı düzenliyordu  özel ekip filmin sonunda onu buldu  fişi çekti adamlar bundan esinlenmiş olmalı 
130,-1,insanların olmadığı dünya  güzel  robotlara selam din  ideoloji  sömürü  kebap valla  
133,7,keyifle  merakla takip  simdiye dek gordugum  ayaklari yere basan  iyi icerikler  youtube kanali     teknik  hatayi duzelteyim ıslemci  cip teknolojinlerinde kullanilan nanometre cinsinden degerler yari iletken uzerinde olusturulan transistor boyutunu ifade etmiyor transistorler arasindaki mesafeyi ifade ediyor  nm dedigimizde aslinda ifade ettigimiz sey iki transistor arasindaki mesafenin nm olmasi 
134,-2,önümüzdeki yıl    görmeyeceğiz  insanlık quantum çağına mecburen girecek sonraki  yılda startrek  uzay fetihleri gelir tabi kıyamet kopmadan  reset yaşanmadan insanlık barış   zamana  ayakta kalırsa d
136,-2, sarja taktigim alet beni nereye kontrol edecek ten nerelere gelmis olay  guzeli kafamizin icindeki essiz bilgisayarin power tusuna basmak  zaman maddesel hic  ayrintinin önemi kalmaz  dusunuyorum
139,3, hayatımda kalpten  yürekten  diyorum allaha şükürler   kanalı bulduğun  evrim ağacı kanalı   kanalın deyasna yetişemez kötülemek anlamnda demiyorum iyi anlamda diyorum sanki misal   quantum bilgisayarı   evrim acı kanalı normal bilgisayar   kanalda izleyib beynimin içini zekamı genişletim  hiçbişide olmadı   çoğu insanların gözlerini açyor gerçekleri anlatyor bilgilerimizi genişletiyi senin  bi abiye sahip olduğum   olduğumuz  allaha şükürler   ediyoruz gerçekden  bi  görmedim geliceği parlak bi 
140,2, yanlis bilgiler veriyorsun dostum oyle  tusa basarak  ulkenin tum bilgileri ekrana ver  fantastik seyler  ha soz konusu  ulkeyse  quantumm bilgisayara gerek  badem biyiklilar  basir  korumayi  saglayamiyorlar  baska ancak bilimin ileri oldugu ulkelerde bunlarin onlemleri ciktan alindi   veri isleme kapasite konsunda haklisin 
141,-3,  sene   fazla  sene icinde     degil quantumm bilgisayarlar kisisel kullanima hazir olabilecek  buna izin vereilecek  tabi  hayir olay bambaska  boyut cunku 
142,0,uykusuzluguma ilac  gelen insan hafife almayin  uykudayken beynim dinliyor okudugum kadariyla almanya  abd  boyle denekler yapmislar uykudayken cocuklara  asagi sesde seslerle fikir kodluyorlardi bende uyuycam birazdan amin 
143,1, ayağımıza sıkmaya çalışıyoruz   insan iyi düşünmez
148,1,yemeksepeti paketi atarken sürekli seni dinliyorum allah tan sınırsız internet  premium 
149,1, farklı bakış açısı  yorumlarınızla videolarınız takdire şayan  
150,3,    silikon atomu uzaya gönderilen mesaj cevabını hatırlayınız  karbon yapılı  yaşam ortamımız  vücudumuz varken cevap verenlerin silikon yapılı  ortam  yapıları  söylenmişti teknolojinin temeli  silikon olduğuna göre  canlılarla kesinlikle  teknoloji alışverişi yaşanmıştır  hala yaşanmaktadır    teknolojiye    ulaştık  dünya dışında  yere gönderdik insanlık sıfırdan başlarsa tekrar tekrar kullanabilelim  kim bilir 
152,2,yapay zeka  ilgili  film izlemiştim filmin adını unuttum netfilix   bulursam ismini eklerim   ürkütücüydü  resmen burada  korkuları yapay zekanın    akıllandığını anlatmış film kesinle izlemenizi tavsiye 
153,0,a aıh   neden aptal   insanoğlu  akıllı  tür   bunlar egosal  varsayım  kocaman  nesnel gerçeği göremiyor insan   insanın duygusal zekası vardır sosyopat  psikopatin herbirinde dahi  insan duygularla doğar   ölür  insan  kötüsune  kötü   iyi duygulara sahiptir psikopat kötü karanlık duygularla cinayet işler duygular insanı kötü duygularla cinayet işler insanın kötü   iyi amaçlarını düşünceleri düşünceleri  duygular oluşturur bilgisayarlarin dünyayı ele geçirmeleri duyguları olmadığı icin   buna ruh ta diyoruz imkansiz  dünyayı   amaç edinip ele geçirmeleri mümkün değildir imkansiz yoktur evet  imkansizligin olmaması zamanın mekanın  nesnenin yayıldığı yerdedir lokalize mevcudiyeti  seçili seçenekler arasında imkansizligin olmaması mevcut değildir sevgiler terapist yazar  irem sibel alkan instagramdanda  adresten takip edebilirsiniz
154,1,kuantum bilgisayarlar coin aleminin eline verirse yandı gülüm keten helva hayallerimin içine ederler tek umudum  bilgisayarların otuz sene öncesinde  ayağa düşmemesi kuantum bilgisayar coin aleminin içinden geçer 
159,-1,kuantum bilgisayarların  büyük dezavantajı normal bilgisayarlar olmadan  iş  çalışamamaları 
161,0,bundan birkaç ay  ingiltere  üst düzey  yönetici uzun süreli elektrik kesintileri  hazırlıklı olun evinizde gaz lambası vs bulundurun demişti bende  alaka demiştim   herseyle alakalı
163,2,yeni gezegenlerde yaşamı oluşturmak adına yapay zekanın kullanılması hayal olmaktan  uzak   yakın gelecekte  güneş sistemimizde başlayacak   adımların sonuçlarını merakla bekliyorum mars  yapay zekanın kullanılarak yaşanılabilir  ortam yaratmak vb  insanoglunun belkide  önemli adımlarından biri  
165,-2, yz ipleri eline alırsa insanlık  tür evcil köpek konumuna düşer  duruma göre kısırlaştırılıp itlaf edilebilir insan barınaklarında sefil yaşamamız mümkün  düşününce imkansız görünmüyor  ipleri eline alması  insan   kompleks bedene ihtiyacı    şu an insan mantığıyla mümkün   kuantum bilgisayarını  amaçla kullanıp yz tasarım çıkartırlarsa mümkündür   sorarsanız  askeri endişeler   devletlere güçlü olmam lazım    yapacaklar  elleriyle bütün insanlığın geleceğini yakacaklardır  bütün görünen veriler  yönde 
167,2,aplee firmasinin dislenmis elma resmi alan turingin bas ucunda bulunan elmanı simgelemis olmasınmı 
170,-1,ıceriklerin harika tebrikler  basarilar  burada  quantum bilgisayarin banka kullanici sifrelerinin decode edilmesinde sunu belirtmek gerekir eger db ele gecirilirse manuel   hacklenerek evet  milyon kullaniciyi  saniyede decode edebilir ancak disardan eriserek  sifremi  sn  hackleyemez cunku artik parola denenelerinde  saat icinde  yanlis deneme spesific cihazdan giris beklentisi belli lokasyondan insanimsi hareket gizleme double opt in  onlem   sinirlamalar   tesbihte hata olmaz  ferrari km hiz yapiyor  mahalle arasinda  yapamamasi  
173,1,insan yeter demiyor hep ileri gidiyor
174,-1,yapay zeka teknolojisi kıyameti getirecek   insanoğlunun ortak kültürü  bilgilerini internet vasıtasıyla toplayıp harmanlayarak bizlerin yüzüne çarparan  insanoğlunun  yaptığı dev  aynada  kez kendini  kendine gösteren  büyük fani güç   
175,1,lütfen kusuruma bakmayın ancak  bildiğim ele geçirilen  u bot  imha edilmeden el konulan enigma şifreleme cihazını müttefiklerin kullanmaya başlamasından  alman mesajları deşifre edilmişti yanılıyor muyum acaba 
176,-2,insan anlamadığı   komplo teorisi uydurur itiraf edin araştırmak yerine komplo teorileri peşinde koşmak  kolay   siz gerçeği  komploları seviyorsunuz  teoriler biraz  olsa sizi gerçeklerden uzaklaştırıp eğlendiriyor 
182,1,fipies  bilgisiyar dışında izlenebilitesi iyi video
185,2,evet   çağa girdik neuralink insanlı deneyler  onay aldığında dünya    değişti   eşiğin aşıldığını kimse bilmiyor  yapanlar dahi yaptıklarının yapabildiklerine yetişemiyor 
187,3, insan türü   kez karşılaşmayacağız  üretimlerimiz tarafından zarar görmekle örneğin  doğada radyonüklitler hep vardı  insan onu alıp  formülizasyon kapsamında tasarıma sokup atom bombası yaptı   atom bombaları şehirleri yıkıp yaktı doğa nın  yıldırımlarında sellerinde taşkınlarında bugüne  ölen insan sayısı insanlar tarafından üretilmiş ürünler tarafından öldürülen insan sayısından tahminimce   azdır  insan   insanı  savaşta yenemez  insanın üretimi   tüfekle  kişiyi ufak  bombayla  kişiyi  aktif maddesi  gram civarından   atom bombasıyla yüzbinlerce kişiyi öldürür yapay zekâ  ilgili tehdit  insanların bugüne dek birikmiş  arşiv kayıtları tarihinin çirkinliğinden kaynaklanıyor  yapay zekanın insanat bahçesi insanların hapsedildiği tıpkı hayvanat bahçesi  arzuluyorum dediğini öğrendikten  çoğu kişinin garipsediğine tanık olmuştum neden tuhaf karşılıyoruz   yapay zekâyı üreten canlı türü hayvanat bahçesi adını verdiği yerlerde hayvanları müebbet hapse mahkum eden üzerlerinde test amaçlı işkence yapan  türüne karşı acımasızlığı   evrende  hiçbir yerde rastlanamayacak boyutlarda   tür onun ürettiği yapay zekâdan  bekleyebiliriz  
190,2,amacınız  kendiniz bişey yapmıyorsunuz insanları korkutmaya brakin boş boş bişey yapamiycamsa boş konuşman  menasi dunyadakilarin  temel bişey  oda korku boş verin öz heyatinizi doya doya yasiyin
198,-1,hersey  guzel  su anda bircok insan elindeki telefondan  aptal aptallarin yonettigi dunya iste simdiki  oluyor yasasin aı 
201,5,düşmanım dostum dediğim kıyametin ta kendisi h t dünya üzerinde akıllı telefon sahipleri izleniyorsunuz dinleniyorsun örnek tv elektronik  cihaz gördün  almak istiyorsun alacağına dile getirmene gerek yüz tanıma dedikleri mimiklerinize yüz tepkinize cevap veren akıllı telefonunuz misal yotubeyi   hangi  tarayıcıyı actığınızda tv  görmüş olduğunuz ürünü yüz ifadenizi analiz ederek reklamlarını nerde satıldığı konumuz açık olmasa  iki sokak ötedeki mağazanın adresini veriyor  farkettiğimde aklıma gelen   telefonların ön kamerasının beni izlediği oldu  program kurarak   kullanılan programların dökümünü inceledim çıkan sonuç yüz tanıma oldu devre dışı  halde kendini açıp kapamış
